2025-12-11 16:28:06,668 - [2025-12-11 16:28:06] Received message: {'TIMESTAMP': '162806.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:09,172 - [2025-12-11 16:28:09] Received message: {'TIMESTAMP': '162808.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:10,745 - [2025-12-11 16:28:10] Received message: {'TIMESTAMP': '162810.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:13,249 - [2025-12-11 16:28:13] Received message: {'TIMESTAMP': '162812.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:14,905 - [2025-12-11 16:28:14] Received message: {'TIMESTAMP': '162814.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:16,906 - [2025-12-11 16:28:16] Received message: {'TIMESTAMP': '162816.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:19,409 - [2025-12-11 16:28:19] Received message: {'TIMESTAMP': '162818.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.94481658935547, 'LON': 126.55608367919922, 'QUAL': 1, 'ALT': 18.74, 'KPH': '41.9', 'HDOP': 2.41, 'SAT': 6, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:21,066 - [2025-12-11 16:28:21] Received message: {'TIMESTAMP': '162820.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.944847106933594, 'LON': 126.55631256103516, 'QUAL': 1, 'ALT': 18.604, 'KPH': '32.6', 'HDOP': 2.41, 'SAT': 6, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:23,067 - [2025-12-11 16:28:23] Received message: {'TIMESTAMP': '162822.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.94487380981445, 'LON': 126.55644226074219, 'QUAL': 1, 'ALT': 18.176, 'KPH': '14.6', 'HDOP': 2.41, 'SAT': 6, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:25,570 - [2025-12-11 16:28:25] Received message: {'TIMESTAMP': '162824.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.944881439208984, 'LON': 126.5564956665039, 'QUAL': 1, 'ALT': 18.016, 'KPH': '4.3', 'HDOP': 2.41, 'SAT': 6, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
