2025-12-11 15:36:27,010 - [2025-12-11 15:36:27] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:29,010 - [2025-12-11 15:36:29] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:31,514 - [2025-12-11 15:36:31] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:33,171 - [2025-12-11 15:36:33] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:35,163 - [2025-12-11 15:36:35] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:37,242 - [2025-12-11 15:36:37] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:39,745 - [2025-12-11 15:36:39] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:41,402 - [2025-12-11 15:36:41] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:43,403 - [2025-12-11 15:36:43] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:45,483 - [2025-12-11 15:36:45] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
